fold_num,model_name,model_family,model_variant,training_time_hours,strategy,weights_path,model_size_mb,parameters,train_map50,train_map50_95,inference_time_ms,fps,yolo_inference_time_ms,yolo_fps,best_confidence,optimized_map50,test_map50,test_map50_95,test_precision,test_recall,evaluation_success,timestamp
1,yolov9t,YOLOv9,tiny,0.06170279562473297,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_1/yolov9t/best.pt,4.393861770629883,2005603,0.4266298256030956,0.2428298846322848,96.46350383758545,10.366614939507993,9.641253716657351,103.72095055151216,0.6,0.5601352997607496,0.5601352997607496,0.3959263814928117,0.8629032258064516,0.25598086124401914,True,unknown
1,yolo11n,YOLOv11,nano,0.05576110475593143,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_1/yolo11n/best.pt,15.318134307861328,2590035,0.28516517760676674,0.16286981900464315,87.64708757400513,11.409392230582064,6.784197800000888,147.40136261944915,0.001,0.21738079374545274,0.21738079374545274,0.10889585050618936,0.00765528894125345,0.4748803827751196,True,unknown
2,yolov9t,YOLOv9,tiny,0.0560308430592219,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_2/yolov9t/best.pt,4.403932571411133,2005603,0.31032113116251064,0.19695334058960118,84.48734283447266,11.836092442381542,7.575345036660413,132.0071884726784,0.9,0.5035783132530123,0.5035783132530123,0.36083499510304756,1.0,0.007177033492822967,True,unknown
2,yolo11n,YOLOv11,nano,0.0520370003912184,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_2/yolo11n/best.pt,5.199297904968262,2590035,0.3154627264101712,0.16991660135540082,86.98984622955322,11.495594524459202,6.809350516668928,146.8568841554056,0.6,0.5047826086956522,0.5047826086956522,0.3659348784352769,1.0,0.009569377990430622,True,unknown
3,yolov9t,YOLOv9,tiny,0.062115378843413456,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_3/yolov9t/best.pt,4.403932571411133,2005603,0.36551878141205835,0.21990514213306303,92.79080629348755,10.776929740615738,6.709088053324497,149.05155395962922,0.6,0.5384435327659862,0.5384435327659862,0.4015133756145307,0.8743455497382199,0.19976076555023922,True,unknown
3,yolo11n,YOLOv11,nano,0.05263835860623254,reduced_fold,/kaggle/working/kfold_results/trained_models/fold_3/yolo11n/best.pt,5.199297904968262,2590035,0.28026401172998555,0.15551171535594852,85.92573404312134,11.637957023423922,6.262681593328429,159.67600860712605,0.8,0.5047826086956522,0.5047826086956522,0.3033978011137737,1.0,0.009569377990430622,True,unknown
