model_name,fold,epochs,training_time_minutes,train_count,val_count,test_count,map50,map50_95,precision,recall,best_confidence,fps,completed_at
yolov5n,1,2,2.1110456784566245,800,200,500,0.2414569755700637,0.12821280836547894,0.005966666666666667,0.5463980463980463,0.001,123.434418930334,2025-07-17T06:20:05.100317
yolov5n,2,2,1.7414926528930663,800,200,500,0.2572272274009077,0.14403190020403883,0.0067733333333333335,0.6263871763255241,0.001,133.29462777255102,2025-07-17T06:23:33.432392
yolov5n,3,2,1.770914908250173,800,200,500,0.23904504938201923,0.13196399485922422,0.0060866666666666664,0.5990813648293963,0.001,112.53576576540094,2025-07-17T06:27:02.527160
