model_name,fold,epochs,training_time_minutes,train_count,val_count,test_count,map50,map50_95,precision,recall,best_confidence,fps,completed_at
yolov8n,1,2,1.6029376228650412,800,200,500,0.26066917963688274,0.13443538956814385,0.005826666666666667,0.5335775335775336,0.001,123.77175945439772,2025-07-17T06:30:18.572081
yolov8n,2,2,1.5954622387886048,800,200,500,0.22247897057974184,0.12523816043734898,0.0061,0.564118372379778,0.001,144.08675784146152,2025-07-17T06:33:33.576340
yolov8n,3,2,1.6195085525512696,800,200,500,0.2426868828524266,0.11488539553985741,0.8366131984482263,0.0839968551663283,0.001,122.90449457533738,2025-07-17T06:36:46.900562
