Model,Mean_mAP50,Std_mAP50,CI_Lower,CI_Upper,Mean_FPS,Completed_Folds,Total_Time_Hours
yolov5n,0.2459097507843302,0.008063014519364633,0.23678559092198953,0.25503391064667086,123.088270822762,3,0.1828469051917394
yolov8n,0.24194501102301705,0.015599910198790364,0.22429205081191006,0.25959797123412404,130.25433729039887,3,0.1617997168832355
